Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Class
2.81052479107,18.8415661822,-9.49565288829,9.8941124352,15.1898134476,-18.0978190954,-14.0599046726,-22.5152333944,-1.13018786962,10.065160858,1
2.81052479107,18.8415661822,-9.6907662667,9.92277777952,15.9411705055,-18.6180557022,-11.2359476602,-22.5152333944,-0.771227985086,9.69788888517,1
2.81052479107,18.8415661822,-9.6907662667,9.95144312384,15.3150396239,-18.1721386106,-26.3136344868,-22.5152333944,-1.27377182343,10.338428408,1
2.81052479107,18.8415661822,-9.72978894238,10.1807658784,13.0609684501,-18.0978190954,-27.2647878539,-22.5152333944,-1.13018786962,10.4175599872,0
2.81052479107,18.8415661822,-9.49565288829,9.92277777952,13.0609684501,-19.6213691581,-34.9494020464,-22.5152333944,-0.747297326117,10.1377225774,1
2.81052479107,18.8415661822,-9.53467556398,10.1521005341,12.5600637449,-18.2464581259,-5.03709113251,-22.8961627071,-0.962673256838,10.2251955898,0
2.81052479107,18.8415661822,-9.6907662667,9.92277777952,14.3132302133,-20.030126492,-17.9265834799,-22.5152333944,-0.938742597869,10.1684738311,1
2.70747502571,18.8415661822,,10.2380965671,13.1861946265,-18.3579373988,-12.3846923437,-22.5152333944,-0.890881279931,9.85247415606,0
2.81052479107,18.8415661822,-9.53467556398,10.4387539773,13.8123255081,-18.9524935208,-18.4239440941,-22.5152333944,-1.05839589271,10.2385712398,1
2.7418249475,18.8415661822,-9.88587964511,10.2667619114,12.4348375686,-18.1721386106,-24.3074119287,-22.5152333944,,9.31148969529,0
2.76758738884,18.8415661822,-9.6907662667,10.0947698454,12.4348375686,-18.3950971564,-13.5987043747,-22.5152333944,-0.771227985086,9.51387669872,0
2.75041242794,18.8415661822,-9.65174359102,10.2380965671,12.1843852159,-18.3579373988,-20.184393573,-22.5152333944,-0.747297326117,9.67561190905,0
2.78476234973,18.8415661822,-9.6907662667,10.1807658784,12.8105160975,-18.9153337632,-14.4145839607,-22.5152333944,-0.699436008179,9.82220769092,0
2.81052479107,18.8415661822,-9.6907662667,10.0374391568,12.5600637449,-19.3240910971,-16.4934015581,-22.5152333944,-1.17804918756,10.4168390574,1
2.81052479107,18.8415661822,-9.41760753693,9.83678174655,14.4384563896,-18.3207776411,-17.8631578527,-22.5152333944,-1.32163314137,10.5873923877,1
2.81052479107,18.8415661822,-9.57369823966,,13.0609684501,-18.0234995801,-31.8998408484,-22.5152333944,-0.843019961993,9.58215977698,0
2.65595014304,18.8415661822,-9.53467556398,9.98010846816,12.4348375686,-18.0234995801,-19.6993892645,-22.5152333944,-0.866950620962,9.93542818641,0
2.77617486928,18.8415661822,-9.61272091534,10.0947698454,13.4366469791,-18.0234995801,-11.1954515522,,-1.13018786962,10.0443898928,0
2.81052479107,18.8415661822,-9.53467556398,10.1234351898,11.808706687,-18.3950971564,-25.5940730662,-22.5152333944,-0.938742597869,10.1961123087,0
2.78476234973,18.8415661822,-9.57369823966,10.1234351898,15.0645872712,-18.3950971564,-8.68674001127,-22.5152333944,-1.20197984653,10.3504399336,0
2.81052479107,18.8415661822,-9.57369823966,9.98010846816,12.5600637449,-18.2092983683,-22.020134684,-22.5152333944,,9.55255988172,0
2.81052479107,18.8415661822,-9.61272091534,9.92277777952,13.0609684501,-18.432256914,-1.47648620212,-22.5152333944,-0.771227985086,9.66384974547,0
2.81052479107,18.8415661822,-9.53467556398,9.75078571359,15.4402658002,-18.729534975,-41.9446561699,-22.5152333944,-1.48914775416,10.7483996345,0
2.81052479107,18.8415661822,-9.76881161807,10.0374391568,14.188004037,-18.0978190954,-27.5858158442,-22.5152333944,-0.771227985086,10.0071892458,0
2.81052479107,18.8415661822,-9.88587964511,10.0374391568,14.188004037,-18.1721386106,-4.46512394135,-22.5152333944,-0.843019961993,9.80412561985,0
2.81052479107,18.8415661822,-9.72978894238,10.0374391568,13.9375516844,-19.5098898852,-1.20057799363,-22.5152333944,-0.962673256838,9.89118403382,1
2.76758738884,18.8415661822,-9.92490232079,10.0661045011,13.1861946265,-18.3207776411,-22.7119772424,-22.5152333944,-1.15411852859,10.1514791558,0
2.81052479107,18.8415661822,-9.61272091534,10.2667619114,13.4366469791,-18.2836178835,-1.25527193689,-22.5152333944,-1.10625721065,10.0346770918,0
2.81052479107,18.8415661822,-9.53467556398,10.1807658784,15.9411705055,-18.5065764293,-5.84337259695,-22.5152333944,-1.24984116447,10.3570490074,1
2.71606250616,18.8415661822,-9.80783429375,9.57879364766,18.5709202082,-19.0639727937,-4.54849102655,-22.5152333944,-1.65666236694,11.0139629409,1
2.72464998661,18.8415661822,-9.84685696943,9.77945105791,14.3132302133,-17.9863398225,-13.0801649606,-22.5152333944,-1.01053457478,10.057503821,0
2.81052479107,,-9.65174359102,9.77945105791,13.9375516844,-20.8476411599,-21.467213028,-22.5152333944,-0.962673256838,10.0417686904,1
2.59583777991,18.8415661822,-9.6907662667,10.2954272557,15.1898134476,-18.0606593377,-24.4019759472,-22.5152333944,-0.651574690241,9.51508215789,0
,18.8415661822,-9.61272091534,10.0087738125,14.4384563896,-19.2126118242,-5.88971973669,-22.5152333944,-0.531921395397,9.58311779618,0
2.81052479107,18.8415661822,-9.30053950989,9.75078571359,16.8177537397,-18.5808959445,-19.4329627932,-22.5152333944,-1.608801049,10.9039939382,1
2.81052479107,18.8415661822,-9.2615168342,9.8941124352,15.9411705055,-18.8781740056,-16.0117018489,-22.5152333944,-1.51307841312,10.8616102607,1
